make,priceUSD,year,mileage(kilometers),fuel_type,volume(cm3),color,transmission,segment
mazda,5500,2008,162000.0,petrol,1500.0,burgundy,mechanics,B
mazda,5350,2009,120000.0,petrol,1300.0,black,mechanics,B
mazda,7000,2009,61000.0,petrol,1500.0,silver,auto,B
mazda,3300,2003,265000.0,diesel,1400.0,white,mechanics,B
mazda,5200,2008,97183.0,diesel,1400.0,gray,mechanics,B
mazda,3400,2005,150000.0,petrol,1300.0,blue,mechanics,B
mazda,5000,2008,112000.0,petrol,1300.0,gray,mechanics,B
mazda,7300,2009,95000.0,petrol,1500.0,other,auto,B
mazda,6400,2010,93804.0,petrol,1500.0,other,mechanics,B
mazda,6132,2008,196511.0,petrol,1500.0,other,auto,B
mazda,5200,2008,98000.0,diesel,1500.0,gray,mechanics,B
mazda,3299,2003,314000.0,diesel,1400.0,gray,mechanics,B
mazda,5400,2008,150000.0,diesel,1400.0,purple,mechanics,B
mazda,6850,2010,147000.0,petrol,1500.0,gray,auto,B
mazda,5300,2008,118000.0,diesel,1400.0,silver,mechanics,B
mazda,5670,2010,148000.0,diesel,1400.0,gray,mechanics,B
mazda,5950,2009,102860.0,petrol,1500.0,silver,mechanics,B
mazda,3500,2003,191000.0,diesel,1400.0,blue,mechanics,B
mazda,5600,2008,83168.0,petrol,1300.0,purple,mechanics,B
mazda,5200,2008,104500.0,petrol,1500.0,burgundy,mechanics,B
mazda,3300,2003,220754.0,petrol,1300.0,silver,mechanics,B
mazda,6500,2010,86000.0,petrol,1300.0,white,mechanics,B
mazda,3200,2006,210000.0,petrol,1400.0,silver,mechanics,B
mazda,5300,2009,108000.0,petrol,1300.0,purple,mechanics,B
mazda,3550,2005,200000.0,petrol,1300.0,silver,mechanics,B
mazda,9800,2012,83600.0,petrol,1600.0,black,auto,C
mazda,4200,2004,340000.0,diesel,1600.0,blue,mechanics,C
mazda,8300,2012,132500.0,petrol,1600.0,black,mechanics,C
mazda,7500,2009,173808.72,petrol,2000.0,black,auto,C
mazda,5800,2006,180000.0,petrol,1600.0,gray,auto,C
mazda,5500,2007,137000.0,petrol,1600.0,gray,mechanics,C
mazda,6300,2008,110000.0,petrol,1600.0,red,mechanics,C
mazda,6700,2010,171000.0,petrol,1600.0,gray,mechanics,C
mazda,6700,2008,228000.0,petrol,2000.0,gray,mechanics,C
mazda,4650,2007,151000.0,petrol,1600.0,other,mechanics,C
mazda,4754,2006,220000.0,petrol,1600.0,black,mechanics,C
mazda,7350,2010,153000.0,petrol,1600.0,gray,mechanics,C
mazda,4750,2004,139.0,petrol,2000.0,silver,auto,C
mazda,4300,2004,241401.0,petrol,2300.0,black,auto,C
mazda,4600,2004,349226.78,petrol,2000.0,blue,auto,C
mazda,11950,2014,105000.0,petrol,1600.0,gray,mechanics,C
mazda,5450,2007,185000.0,petrol,1600.0,blue,mechanics,C
mazda,5900,2008,141000.0,petrol,1600.0,gray,mechanics,C
mazda,6000,2007,200000.0,petrol,2300.0,gray,auto,C
mazda,4999,2006,276000.0,diesel,1600.0,white,mechanics,C
mazda,5800,2006,144000.0,petrol,1600.0,burgundy,auto,C
mazda,6800,2011,181200.0,petrol,1600.0,black,auto,C
mazda,6200,2007,203000.0,petrol,1600.0,burgundy,auto,C
mazda,11500,2013,67000.0,petrol,1600.0,gray,mechanics,C
mazda,5300,2006,190000.0,petrol,1600.0,black,mechanics,C
mazda,9000,2012,115000.0,petrol,2000.0,other,auto,C
mazda,5555,2008,200000.0,petrol,1600.0,black,auto,C
mazda,5100,2007,187000.0,petrol,2000.0,other,mechanics,C
mazda,9510,2013,130000.0,petrol,2000.0,gray,auto,C
mazda,1000,2005,123456.0,diesel,1500.0,blue,mechanics,C
mazda,5279,2008,302555.92,petrol,2000.0,silver,auto,C
mazda,6100,2008,188000.0,petrol,1600.0,blue,auto,C
mazda,13000,2014,60000.0,petrol,1500.0,burgundy,auto,C
mazda,10700,2010,132000.0,petrol,2000.0,white,auto,C
mazda,11999,2014,120000.0,petrol,1600.0,black,mechanics,C
mazda,6000,2007,180000.0,petrol,1600.0,silver,auto,C
mazda,5400,2008,175500.0,petrol,2000.0,black,auto,C
